source,property_name,property_type,segment,address,district_town,txn_date,price,area_sqm,area_sqft,price_psf,storey_range,tenure,flat_model,lat,lng
HDB,1 BEACH RD,5 ROOM,KALLANG/WHAMPOA,1 BEACH RD,KALLANG/WHAMPOA,2025-12-01,912000.0,153.0,1646.88,553.78,07 TO 09,52 years 10 months,Adjoined flat,1.3036713506088,103.864478660925
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2017-01-01,820000.0,119.0,1280.9,640.17,13 TO 15,65 years 05 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2017-11-01,693000.0,119.0,1280.9,541.02,01 TO 03,64 years 07 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2017-11-01,698000.0,119.0,1280.9,544.93,01 TO 03,64 years 07 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2018-07-01,795000.0,119.0,1280.9,620.66,07 TO 09,63 years 11 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2019-10-01,838000.0,119.0,1280.9,654.23,22 TO 24,62 years 08 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2020-02-01,850000.0,119.0,1280.9,663.59,07 TO 09,62 years 05 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2020-09-01,900000.0,119.0,1280.9,702.63,13 TO 15,61 years 10 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2020-10-01,870000.0,119.0,1280.9,679.21,16 TO 18,61 years 09 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2021-01-01,880000.0,119.0,1280.9,687.01,13 TO 15,61 years 05 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2021-06-01,848800.0,119.0,1280.9,662.66,07 TO 09,61 years 02 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2021-12-01,890000.0,119.0,1280.9,694.82,16 TO 18,60 years 07 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2022-03-01,883888.0,119.0,1280.9,690.05,19 TO 21,60 years 03 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2023-05-01,860000.0,119.0,1280.9,671.4,04 TO 06,59 years 01 month,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2023-10-01,988000.0,119.0,1280.9,771.33,25 TO 27,58 years 08 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2023-12-01,938000.0,119.0,1280.9,732.3,07 TO 09,58 years 07 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2024-05-01,950000.0,119.0,1280.9,741.66,04 TO 06,58 years 02 months,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2024-06-01,1026000.0,119.0,1280.9,801.0,22 TO 24,58 years 01 month,Improved,1.2920752508431,103.828584077626
HDB,1 DELTA AVE,5 ROOM,BUKIT MERAH,1 DELTA AVE,BUKIT MERAH,2026-03-01,1008888.0,119.0,1280.9,787.64,10 TO 12,56 years 04 months,Improved,1.2920752508431,103.828584077626
HDB,1 EVERTON PK,5 ROOM,BUKIT MERAH,1 EVERTON PK,BUKIT MERAH,2018-01-01,750000.0,138.0,1485.42,504.91,10 TO 12,61 years 10 months,Improved,1.27742654288695,103.840001188095
HDB,1 EVERTON PK,5 ROOM,BUKIT MERAH,1 EVERTON PK,BUKIT MERAH,2021-05-01,862000.0,137.0,1474.65,584.54,10 TO 12,58 years 07 months,Improved,1.27742654288695,103.840001188095
HDB,1 EVERTON PK,5 ROOM,BUKIT MERAH,1 EVERTON PK,BUKIT MERAH,2022-08-01,751000.0,127.0,1367.02,549.37,04 TO 06,57 years 03 months,Improved,1.27742654288695,103.840001188095
HDB,1 EVERTON PK,5 ROOM,BUKIT MERAH,1 EVERTON PK,BUKIT MERAH,2022-10-01,855000.0,138.0,1485.42,575.6,07 TO 09,57 years 02 months,Improved,1.27742654288695,103.840001188095
HDB,1 EVERTON PK,5 ROOM,BUKIT MERAH,1 EVERTON PK,BUKIT MERAH,2024-12-01,910000.0,138.0,1485.42,612.62,01 TO 03,55 years,Improved,1.27742654288695,103.840001188095
HDB,1 EVERTON PK,5 ROOM,BUKIT MERAH,1 EVERTON PK,BUKIT MERAH,2026-05-01,980000.0,137.0,1474.65,664.56,07 TO 09,53 years 07 months,Improved,1.27742654288695,103.840001188095
HDB,1 GHIM MOH RD,5 ROOM,QUEENSTOWN,1 GHIM MOH RD,QUEENSTOWN,2024-11-01,720000.0,130.0,1399.31,514.54,04 TO 06,50 years 09 months,Adjoined flat,1.31287975684307,103.786855017635
HDB,1 MARINE TER,5 ROOM,MARINE PARADE,1 MARINE TER,MARINE PARADE,2017-05-01,830000.0,120.0,1291.67,642.58,13 TO 15,56 years 08 months,Standard,1.30482902187779,103.918614976369
HDB,1 MARINE TER,5 ROOM,MARINE PARADE,1 MARINE TER,MARINE PARADE,2017-06-01,761000.0,120.0,1291.67,589.16,13 TO 15,56 years 07 months,Standard,1.30482902187779,103.918614976369
HDB,1 MARINE TER,5 ROOM,MARINE PARADE,1 MARINE TER,MARINE PARADE,2017-08-01,878000.0,120.0,1291.67,679.74,13 TO 15,56 years 05 months,Standard,1.30482902187779,103.918614976369
HDB,1 MARINE TER,5 ROOM,MARINE PARADE,1 MARINE TER,MARINE PARADE,2018-03-01,920000.0,122.0,1313.2,700.58,10 TO 12,55 years 10 months,Standard,1.30482902187779,103.918614976369
HDB,1 MARINE TER,5 ROOM,MARINE PARADE,1 MARINE TER,MARINE PARADE,2018-05-01,775000.0,117.0,1259.38,615.38,25 TO 27,55 years 08 months,Standard,1.30482902187779,103.918614976369
HDB,1 MARINE TER,5 ROOM,MARINE PARADE,1 MARINE TER,MARINE PARADE,2018-09-01,820000.0,121.0,1302.43,629.59,13 TO 15,55 years 05 months,Standard,1.30482902187779,103.918614976369
HDB,1 MARINE TER,5 ROOM,MARINE PARADE,1 MARINE TER,MARINE PARADE,2019-06-01,855000.0,120.0,1291.67,661.93,16 TO 18,54 years 07 months,Standard,1.30482902187779,103.918614976369
HDB,1 MARINE TER,5 ROOM,MARINE PARADE,1 MARINE TER,MARINE PARADE,2019-07-01,700000.0,120.0,1291.67,541.93,07 TO 09,54 years 06 months,Standard,1.30482902187779,103.918614976369
HDB,1 MARINE TER,5 ROOM,MARINE PARADE,1 MARINE TER,MARINE PARADE,2019-10-01,808000.0,122.0,1313.2,615.29,10 TO 12,54 years 04 months,Standard,1.30482902187779,103.918614976369
HDB,1 MARINE TER,5 ROOM,MARINE PARADE,1 MARINE TER,MARINE PARADE,2019-12-01,820000.0,120.0,1291.67,634.84,19 TO 21,54 years 01 month,Standard,1.30482902187779,103.918614976369
HDB,1 MARINE TER,5 ROOM,MARINE PARADE,1 MARINE TER,MARINE PARADE,2020-06-01,700000.0,120.0,1291.67,541.93,07 TO 09,53 years 09 months,Standard,1.30482902187779,103.918614976369
HDB,1 MARINE TER,5 ROOM,MARINE PARADE,1 MARINE TER,MARINE PARADE,2020-10-01,843000.0,120.0,1291.67,652.64,19 TO 21,53 years 03 months,Standard,1.30482902187779,103.918614976369
HDB,1 MARINE TER,5 ROOM,MARINE PARADE,1 MARINE TER,MARINE PARADE,2021-04-01,750000.0,120.0,1291.67,580.64,01 TO 03,52 years 10 months,Standard,1.30482902187779,103.918614976369
